,train_start,train_end,test_end,params,train_return,test_return
25,2012-06-21 22:15:00,2012-09-19 22:15:00,2012-10-19 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.06254153571725163,-0.0005775000000000086
26,2012-07-21 22:15:00,2012-10-19 22:15:00,2012-11-18 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.07540218408493149,-0.00039999999999995595
27,2012-08-20 22:15:00,2012-11-18 22:15:00,2012-12-18 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.0844762088535973,-0.00034250000000002334
28,2012-09-19 22:15:00,2012-12-18 22:15:00,2013-01-17 22:15:00,"{'sl_atr_mult': 1, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.0917636023312095,-0.0005374999999999686
29,2012-10-19 22:15:00,2013-01-17 22:15:00,2013-02-16 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.09000733241271608,-0.0005174999999999486
30,2012-11-18 22:15:00,2013-02-16 22:15:00,2013-03-18 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.07969388365120234,-0.00039250000000001783
31,2012-12-18 22:15:00,2013-03-18 22:15:00,2013-04-17 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.06444127605498429,-0.00011499999999997623
32,2013-01-17 22:15:00,2013-04-17 22:15:00,2013-05-17 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.06603384386783362,-0.0003775000000000306
33,2013-02-16 22:15:00,2013-05-17 22:15:00,2013-06-16 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.058434017775002234,0.0005349999999999522
34,2013-03-18 22:15:00,2013-06-16 22:15:00,2013-07-16 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.04503992981458593,0.00037749999999991957
35,2013-04-17 22:15:00,2013-07-16 22:15:00,2013-08-15 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.003296018044370408,-0.0006774999999999975
36,2013-05-17 22:15:00,2013-08-15 22:15:00,2013-09-14 22:15:00,"{'sl_atr_mult': 3, 'tp_atr_mult': 4, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.01371913026935867,-0.0004349999999999632
37,2013-06-16 22:15:00,2013-09-14 22:15:00,2013-10-14 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.027186139914688545,-0.0008299999999999974
38,2013-07-16 22:15:00,2013-10-14 22:15:00,2013-11-13 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 3, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.07047221324865749,-0.0006024999999999503
39,2013-08-15 22:15:00,2013-11-13 22:15:00,2013-12-13 22:15:00,"{'sl_atr_mult': 2, 'tp_atr_mult': 2, 'use_adx': True, 'adx_thresh': 20, 'ema_filter': 50}",-0.08581927892415508,-0.0005724999999999758
