,stop_loss,take_profit,ema_filter,atr_max_mult,Total Return,Final Equity,Error
79,50,50,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
80,50,100,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
81,50,100,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
82,50,100,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
83,50,100,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
84,50,100,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
85,50,100,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
86,50,100,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
87,50,100,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
88,50,100,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
89,50,100,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
90,50,100,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
91,50,100,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
92,50,100,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
93,50,100,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
94,50,100,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
95,50,100,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
96,50,150,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
97,50,150,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
98,50,150,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
99,50,150,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
100,50,150,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
101,50,150,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
102,50,150,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
103,50,150,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
104,50,150,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
105,50,150,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
106,50,150,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
107,50,150,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
108,50,150,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
109,50,150,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
110,50,150,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
111,50,150,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
112,50,200,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
113,50,200,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
114,50,200,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
115,50,200,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
116,50,200,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
117,50,200,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
118,50,200,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
119,50,200,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
120,50,200,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
121,50,200,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
122,50,200,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
123,50,200,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
124,50,200,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
125,50,200,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
126,50,200,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
127,50,200,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
128,75,50,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
129,75,50,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
130,75,50,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
131,75,50,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
132,75,50,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
133,75,50,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
134,75,50,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
135,75,50,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
136,75,50,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
137,75,50,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
138,75,50,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
139,75,50,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
140,75,50,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
141,75,50,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
142,75,50,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
143,75,50,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
144,75,100,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
145,75,100,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
146,75,100,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
147,75,100,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
148,75,100,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
149,75,100,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
150,75,100,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
151,75,100,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
152,75,100,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
153,75,100,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
154,75,100,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
155,75,100,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
156,75,100,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
157,75,100,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
158,75,100,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
159,75,100,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
160,75,150,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
161,75,150,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
162,75,150,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
163,75,150,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
164,75,150,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
165,75,150,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
166,75,150,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
167,75,150,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
168,75,150,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
169,75,150,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
170,75,150,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
171,75,150,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
172,75,150,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
173,75,150,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
174,75,150,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
175,75,150,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
176,75,200,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
177,75,200,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
178,75,200,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
179,75,200,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
180,75,200,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
181,75,200,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
182,75,200,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
183,75,200,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
184,75,200,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
185,75,200,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
186,75,200,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
187,75,200,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
188,75,200,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
189,75,200,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
190,75,200,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
191,75,200,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
192,100,50,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
193,100,50,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
194,100,50,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
195,100,50,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
196,100,50,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
197,100,50,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
198,100,50,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
199,100,50,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
200,100,50,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
201,100,50,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
202,100,50,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
203,100,50,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
204,100,50,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
205,100,50,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
206,100,50,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
207,100,50,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
208,100,100,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
209,100,100,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
210,100,100,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
211,100,100,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
212,100,100,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
213,100,100,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
214,100,100,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
215,100,100,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
216,100,100,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
217,100,100,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
218,100,100,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
219,100,100,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
220,100,100,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
221,100,100,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
222,100,100,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
223,100,100,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
224,100,150,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
225,100,150,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
226,100,150,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
227,100,150,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
228,100,150,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
229,100,150,100,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
230,100,150,100,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
231,100,150,100,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
232,100,150,200,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
233,100,150,200,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
234,100,150,200,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
235,100,150,200,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
236,100,150,500,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
237,100,150,500,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
238,100,150,500,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
239,100,150,500,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
240,100,200,50,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
241,100,200,50,2.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
242,100,200,50,3.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
243,100,200,50,5.0,0.0,100000.0,'ndarray' object has no attribute 'iloc'
244,100,200,100,1.5,0.0,100000.0,'ndarray' object has no attribute 'iloc'
