sl_atr_mult,tp_atr_mult,ema_filter,atr_max_mult,Total Return,Final Equity
1.0,2.0,200,1.5,-0.15446417119927547,84553.58288007246
1.0,4.0,200,1.5,-0.15446417119927547,84553.58288007246
1.0,8.0,200,1.5,-0.15446417119927547,84553.58288007246
1.0,6.0,200,1.5,-0.15446417119927547,84553.58288007246
2.0,6.0,200,1.5,-0.15446417119927547,84553.58288007246
2.0,8.0,200,1.5,-0.15446417119927547,84553.58288007246
2.0,4.0,200,1.5,-0.15446417119927547,84553.58288007246
2.0,2.0,200,1.5,-0.15446417119927547,84553.58288007246
4.0,2.0,200,1.5,-0.15446417119927547,84553.58288007246
4.0,4.0,200,1.5,-0.15446417119927547,84553.58288007246
4.0,8.0,200,1.5,-0.15446417119927547,84553.58288007246
4.0,6.0,200,1.5,-0.15446417119927547,84553.58288007246
3.0,6.0,200,1.5,-0.15446417119927547,84553.58288007246
3.0,8.0,200,1.5,-0.15446417119927547,84553.58288007246
3.0,4.0,200,1.5,-0.15446417119927547,84553.58288007246
3.0,2.0,200,1.5,-0.15446417119927547,84553.58288007246
3.0,2.0,200,2.5,-0.16427927256319597,83572.0727436804
3.0,4.0,200,2.5,-0.16427927256319597,83572.0727436804
3.0,8.0,200,2.5,-0.16427927256319597,83572.0727436804
3.0,6.0,200,2.5,-0.16427927256319597,83572.0727436804
4.0,6.0,200,2.5,-0.16427927256319597,83572.0727436804
4.0,8.0,200,2.5,-0.16427927256319597,83572.0727436804
4.0,4.0,200,2.5,-0.16427927256319597,83572.0727436804
4.0,2.0,200,2.5,-0.16427927256319597,83572.0727436804
2.0,2.0,200,2.5,-0.16427927256319597,83572.0727436804
2.0,4.0,200,2.5,-0.16427927256319597,83572.0727436804
2.0,8.0,200,2.5,-0.16427927256319597,83572.0727436804
2.0,6.0,200,2.5,-0.16427927256319597,83572.0727436804
1.0,6.0,200,2.5,-0.16427927256319597,83572.0727436804
1.0,8.0,200,2.5,-0.16427927256319597,83572.0727436804
1.0,4.0,200,2.5,-0.16427927256319597,83572.0727436804
1.0,2.0,200,2.5,-0.16427927256319597,83572.0727436804
1.0,2.0,200,3.0,-0.17536207038902207,82463.79296109779
1.0,4.0,200,3.0,-0.17536207038902207,82463.79296109779
1.0,8.0,200,3.0,-0.17536207038902207,82463.79296109779
1.0,6.0,200,3.0,-0.17536207038902207,82463.79296109779
2.0,6.0,200,3.0,-0.17536207038902207,82463.79296109779
2.0,8.0,200,3.0,-0.17536207038902207,82463.79296109779
2.0,4.0,200,3.0,-0.17536207038902207,82463.79296109779
2.0,2.0,200,3.0,-0.17536207038902207,82463.79296109779
4.0,2.0,200,3.0,-0.17536207038902207,82463.79296109779
4.0,4.0,200,3.0,-0.17536207038902207,82463.79296109779
4.0,8.0,200,3.0,-0.17536207038902207,82463.79296109779
4.0,6.0,200,3.0,-0.17536207038902207,82463.79296109779
